f,p,n,x,y,z
N,,1,,,10.13
N,,2,,,9
N,,3,,,9.52
N,,4,,,6.99
N,,5,,,
N,,6,,,7.24
N,,7,,,4.65
N,,8,,,3.5
N,,9,,,3.63
N,,10,,,
N,,11,,,9.95
N,,12,,,9.85
N,,13,,,7.71
N,,14,,,9.72
N,,15,,,
N,,16,,,7.85
N,,17,,,8.72
N,,18,,,
N,,19,,,8.3
N,,20,,,10.34
N,,21,,,
N,,22,,,7.71
N,,23,,,9.72
N,,24,,,
N,,25,,,
N,,26,,,
N,,27,,,
N,,28,,,
S,,1,,,9.44
S,,2,,,10.33
S,,3,,,7.97
S,,4,,,8.85
S,,5,,,
S,,6,,,5.61
S,,7,,,9.23
S,,8,,,5.3
S,,9,,,6.31
S,,10,,,
S,,11,,,4.91
S,,12,,,4.71
S,,13,,,
S,,14,,,6.42
S,,15,,,4.9
S,,15a,,,
S,,16,,,9.88
S,,17,,,7.39
S,,18,,,
S,,19,,,8.53
S,,20,,,6.65
S,,21,,,
S,,22,,,11.93
S,,23,,,12.43
S,,24,,,11.98
S,,25,,,12.02
S,,26,,,
S,,27,,,12.17
S,,28,,,12.01
S,,29,,,
E,,1,,,10.34
E,,2,,,10.22
E,,2a,,,10.99
E,,3,,,9.22
E,,4,,,9.78
E,,5,,,9.35
E,,6,,,5.47
E,,7,,,10.18
E,,8,,,
E,,9,,,
E,,10,,,8.54
E,,11,,,9.26
E,,12,,,9.35
E,,13,,,8.14
E,,14,,,6.99
E,,15,,,9.75
E,,16,,,8.92
E,,17,,,9
E,,18,,,
E,,19,,,
E,,20,,,8.69
E,,21,,,5.68
E,,22,,,5.66
E,,23,,,2.77
E,,24,,,
E,,25,,,
E,,26,,,8.76
E,,27,,,5.74
E,,28,,,3.63
E,,29,,,9.68
E,,30,,,
E,,31,,,
E,P1,32,7.749,-4.326,8.41
E,P1,33,18.491,-4.048,6.53
E,P1,34,28.789,-3.632,10.28
E,,35,,,
E,P1,35a,38.744,-4.049,10.02
E,,36,,,
E,P1,37,8.278,-6.951,8.1
E,P1,38,18.528,-6.753,10.07
E,P1,39,28.633,-6.839,9.4
E,P1,40,38.934,-6.935,10.09
E,P1,41,8.373,-9.789,13.44
E,P1,42,18.597,-9.829,7.61
E,P1,43,28.526,-9.98,3.14
E,P1,44,38.638,-9.998,2.95
E,,45,,,
E,,46,,,
E,P2,47,,,8.94
E,P2,48,,,12.1
E,P2,49,,,11.25
E,P2,50,,,12.11
E,P2,51,,,9.53
E,P2,52,,,12.05
E,P3,53,,,10.83
E,P3,54,,,11.92
E,,55,,,
E,P3,56,,,10.31
E,P3,57,,,11.92
E,P3,58,,,11.52
E,P2,59,,,5.73
E,P2,60,,,12.21
E,P3,61,,,7.35
E,P3,62,,,9.92
E,,63,,,
E,,64,,,
E,P2,65,,,11.93
E,P3,66,,,11.24
E,,67,,,
E,,68,,,
W,,1,,,6.02
W,,2,,,
W,,3,,,3.53
W,,4,,,
W,,5,,,5.46
W,,6,,,4.78
W,,7,,,3.64
W,,8,,,
W,,9,,,
W,,10,,,5.04
W,,11,,,5.83
W,,12,,,3.78
W,,13,,,5.38
W,,14,,,4.47
W,,15,,,2.94
W,,16,,,4.77
W,,17,,,4.14
W,,18,,,
W,,19,,,
W,,20,,,10
W,,21,,,4.31
W,,22,,,10.03
W,,23,,,4.43
W,,24,,,
W,,25,,,
W,,26,,,4.41
W,,27,,,4.9
W,,28,,,8.82
W,,29,,,
W,,30,,,
W,,31,,,10.04
W,,32,,,10.06
W,,33,,,10.37
W,,34,,,6.43
W,,35,,,10.1
W,,36,,,
W,,37,,,7.79
W,,38,,,
W,,39,,,7.62
W,,40,,,6.42
W,,41,,,3.85
W,,42,,,7.67
W,,43,,,8.19
W,,44,,,9.43
W,,45,,,8.52
W,,46,,,
W,,47,,,11.93
W,,48,,,12.05
W,,49,,,12.21
W,,50,,,12.01
W,,51,,,11.51
W,,52,,,12.35
W,,53,,,12.2
W,,54,,,11.19
W,,55,,,11.87
W,,56,,,12.26
W,,57,,,12.51
W,,58,,,12.83
W,,58a,,,11.98
W,,59,,,11
W,,60,,,12.33
W,,61,,,
W,,62,,,12.11
W,,63,,,
W,,64,,,10.68
W,,65,,,10.03
W,,66,,,
W,,67,,,
